Player,Season,3PA,Position,GP,Era,Total GP
Anthony Davis,2013,9,Big,67,2010,131
Anthony Davis,2014,12,Big,68,2010,199
Anthony Davis,2015,108,Big,61,2010,260
Anthony Davis,2016,134,Big,75,2010,335
Anthony Davis,2017,162,Big,75,2010,410
Anthony Davis,2018,145,Big,56,2010,466
Anthony Davis,2019,218,Big,62,2010,528
Anthony Davis,2020,100,Big,36,2010,564
Giannis Antetokounmpo,,0,Big,0,2010,0
Giannis Antetokounmpo,2013,118,Big,77,2010,77
Giannis Antetokounmpo,2014,44,Big,81,2010,158
Giannis Antetokounmpo,2015,109,Big,80,2010,238
Giannis Antetokounmpo,2016,180,Big,80,2010,318
Giannis Antetokounmpo,2017,140,Big,75,2010,393
Giannis Antetokounmpo,2018,203,Big,72,2010,465
Giannis Antetokounmpo,2019,293,Big,63,2010,528
Giannis Antetokounmpo,2020,221,Big,61,2010,589
Nikola Jokic,,0,Big,0,2010,0
Nikola Jokic,2015,84,Big,80,2010,80
Nikola Jokic,2016,139,Big,73,2010,153
Nikola Jokic,2017,280,Big,75,2010,228
Nikola Jokic,2018,270,Big,80,2010,308
Nikola Jokic,2019,255,Big,73,2010,381
Nikola Jokic,2020,237,Big,72,2010,453
Joel Embiid,,0,Big,0,2010,0
Joel Embiid,2016,98,Big,31,2010,31
Joel Embiid,2017,214,Big,63,2010,94
Joel Embiid,2018,263,Big,64,2010,158
Joel Embiid,2019,172,Big,51,2010,209
Joel Embiid,2020,154,Big,51,2010,260
